노선,건수(1통행)_일반,건수(1통행)_청소년,건수(1통행)_어린이,건수(2통행)_일반,건수(2통행)_청소년,건수(2통행)_어린이,건수(3통행)_일반,건수(3통행)_청소년,건수(3통행)_어린이,교통카드건수합계
186,978419,58755,18889,258865,15540,1489,50725,1307,180,1384169
187,112143,11823,2738,33530,1537,154,12400,591,20,174936
188,394674,86220,16050,82506,4828,859,25348,1837,112,612434
189,2058134,225609,34068,613172,38481,2951,101797,4670,474,3079356
189-1,1514561,96853,24118,477585,23484,2204,90915,3759,198,2233677
190,1334149,137940,24882,385135,25800,1549,93923,5154,193,2008725
2,2045457,284824,58668,539982,33574,3840,92409,2992,259,3062005
20,2853936,277933,39864,756100,38151,3730,104189,3197,317,4077417
200,2498921,213006,36940,785464,36814,3447,110213,3644,341,3688790
210,1668182,183225,30675,583570,35980,2950,107383,5008,344,2617317
22,1260389,166177,24946,310264,20270,1692,61251,2406,185,1847580
221(장유),80040,6132,612,34157,2787,143,5594,440,31,129936
23,2710823,203724,42661,807024,39043,3909,118386,3319,367,3929256
24,3263729,347860,58970,642842,35012,3560,113807,3854,356,4469990
26,1688185,66051,23304,447769,14751,1842,70896,1092,160,2314050
26(아침),89869,5261,444,37667,570,53,6147,14,0,140025
27,2848514,203026,33954,765101,32965,2779,113705,3306,306,4003656
29,2822136,317972,52104,703819,36275,3990,122298,3294,301,4062189
3,1392268,218001,42611,366022,30580,2738,67530,3954,244,2123948
30,2330190,80631,33051,611773,17101,2408,127761,2188,276,3205379
300,446585,39567,7752,120881,6907,547,18173,1039,48,641499
301(통합),134797,38656,3254,33859,3664,179,6861,687,21,221978
302,263562,61361,8504,43637,3103,293,8703,529,47,389739
307(공항),907188,64932,12280,245887,9257,1031,37299,1033,97,1279004
31,4137408,267008,42113,1279329,49914,4151,150727,4037,387,5935074
33,3216681,182833,41036,940055,34926,3456,138422,3449,300,4561158
Jan-33,1046250,54170,17676,296134,12659,1291,52579,1371,234,1482364
338,2579907,219417,45471,738015,44076,3978,105518,4868,327,3741577
36,790768,87412,17211,237832,13972,1488,60169,3491,237,1212580
37,581673,86845,20325,152073,6942,1076,43619,1664,244,894461
38,822399,81043,15695,173475,7383,843,39556,1040,135,1141569
39,2267783,186558,28438,500132,20551,1944,81522,2576,221,3089725
40,2271537,204331,34123,542188,29959,2295,83343,2597,201,3170574
41,2592937,176737,29232,678357,27955,2269,74656,1811,186,3584140
42,2206887,141268,21159,527073,21425,1738,76846,1801,159,2998356
43,2266936,143078,32632,705688,36252,3160,123930,4185,284,3316145
44,2721128,280139,56517,814310,41443,5906,135701,4169,445,4059758
46,814918,108136,20918,241027,19144,1262,46978,2552,138,1255073
49,2397157,304858,48643,610522,29469,2887,97670,2902,234,3494342
50,1338815,119108,22570,330648,19589,1624,62505,1714,162,1896735
506,680165,55828,7984,205803,11569,865,35268,1506,86,999074
508,1423719,134334,22158,488611,35458,2551,97421,6771,319,2211342
51,3987743,400326,74259,917816,49928,5158,118681,3787,636,5558334
05월 01일,1568370,102311,19528,388108,16397,1345,68833,1575,157,2166624
52,2721405,186639,26763,774271,38460,2502,130254,5168,225,3885687
520,155216,13376,801,54041,4043,170,11105,538,25,239315
54,3404568,263338,53336,1143189,65044,6223,206642,7189,552,5150081
55,201012,16612,2920,48550,3719,425,9492,607,86,283423
57,2389410,176387,35192,517005,18920,2227,97347,2109,297,3238894
58,108764,2220,331,35807,1083,108,9338,252,34,157937
58-1(심야),10104,266,19,4214,154,0,657,20,0,15434
58-1(용원),313384,18012,2273,81221,6910,301,17303,1067,36,440507
Feb-58,1479974,179962,33988,431208,39476,2366,79496,5255,249,2251974
583,325185,27069,8866,45825,1266,179,10204,292,33,418919
59,994450,45660,8872,293449,7843,918,43625,840,91,1395748
6,1932625,185998,35591,524825,28214,2599,107637,4252,334,2822075
61,2240395,126960,28014,735951,31214,2666,91060,1847,196,3258303
62,3120214,203708,30405,861109,40508,2706,122835,4738,265,4386488
63,2619113,297854,49406,590343,31610,2987,99447,3410,349,3694519
66,569934,33035,10094,174340,5801,787,33094,792,113,827990
67,3726124,407841,83032,1086221,58327,5533,178382,6049,619,5552128
68,4572116,280848,65355,1500633,61162,5425,171127,4900,502,6662068
7,980833,85547,17539,268935,12992,1068,69396,2655,146,1439111
70,801978,109352,20482,163018,11580,1125,42947,1554,108,1152144
71,961190,72460,15834,271264,13265,1355,69961,3508,168,1409005
73,42638,3862,922,8568,313,38,2806,96,12,59255
73(아침),28889,713,340,7126,87,15,2924,29,7,40130
77,1714574,112998,24443,504754,21117,1887,72422,1813,217,2454225
8,3015050,172285,43256,898721,30646,3716,134045,2867,345,4300931
80,3378760,414790,98993,711482,41315,4584,123475,4362,354,4778115
81,4260560,241416,69979,1186071,45034,6456,165559,3565,471,5979111
82,2100946,159514,31003,685077,42759,2822,112533,5816,318,3140788
83,1669942,103605,17332,501635,15638,1492,66873,1614,233,2378364
Jan-83,846953,65012,13504,219983,8959,984,38519,1104,119,1195137
85,1055730,101767,18833,335209,20918,1532,60187,2535,199,1596910
86,2388543,162853,43093,558214,35989,3257,107261,2931,247,3302388
87,4190379,171996,60607,1262973,43574,6607,194260,3901,435,5934732
88(B),808179,40783,11044,216240,6691,833,41319,824,101,1126014
88-1(A),1230617,28539,10311,474882,13177,2330,103713,1539,184,1865292
9(통합),696888,53445,8450,201525,11085,832,53179,1820,82,1027306
90,250974,2933,1515,100743,1267,534,36208,345,128,394647
96,2960217,332812,77225,765169,42224,5425,137334,3141,449,4323996
Jan-96,299602,37663,10153,66606,4479,737,13329,614,66,433249
99,3338048,149860,22162,1038127,31816,2899,147982,3550,228,4734672
203(산성),395827,16264,4625,146257,7543,839,39574,1123,114,612166
강서12출,71776,4301,371,23500,396,13,5589,56,3,106005
강서17정거,722,33,2,191,10,1,58,1,0,1018
강서1정거,193,5,0,4,0,0,1,0,0,203
강서5중리2,4,0,0,0,0,0,0,0,0,4
강서7-2출,58554,2334,216,22271,477,31,3016,48,7,86954
강서구1,44574,1759,98,1093,4,4,247,7,3,47789
강서구11,43112,1768,425,14639,164,11,3302,56,6,63483
강서구12,152136,9409,1992,48675,3686,414,8891,642,64,225909
강서구13,362016,17498,1897,136638,5479,402,24312,595,75,548912
강서구14,22891,615,254,8242,275,30,1871,89,14,34281
강서구15,109341,2486,414,42449,1422,281,9389,479,16,166277
강서구15-1,8694,121,19,2838,59,3,1213,20,3,12970
강서구16,19209,105,33,5733,115,11,1614,6,1,26827
강서구17,18854,668,117,6136,197,21,1592,46,3,27634
강서구19,138453,15366,3331,39434,1279,223,11382,196,19,209683
강서구2,21004,656,55,5374,255,6,1083,35,1,28469
강서구20,444829,40573,5760,168477,16565,987,31946,2233,77,711447
강서구21,121651,13868,2339,42504,3155,218,8918,586,37,193276
강서구3,7600,351,69,2149,276,13,700,22,3,11183
강서구5,76091,3708,508,34164,768,49,6563,49,7,121907
강서구7,54463,1098,181,15321,306,40,4541,58,8,76016
강서구7-2,74222,3187,281,27286,607,35,3863,61,16,109558
강서구9,25553,590,189,7039,211,42,2162,49,4,35839
강서구9-1,360454,9457,2056,101263,3676,372,25159,765,38,503240
강서구9-2,98820,6322,752,35559,2913,155,7948,506,15,152990
금정3주말,23,3,0,8,0,0,0,0,0,34
금정구1,545882,40671,18935,146149,6351,674,25752,972,69,785455
금정구2-1,158244,4290,1859,53173,2657,412,19190,223,111,240159
금정구2-1(명절),470,10,16,184,5,2,90,3,5,785
금정구2-2,150763,4313,2240,42984,1929,386,11073,226,29,213943
금정구2-2(주말),30491,627,461,14867,269,101,5199,68,57,52140
금정구3,255126,21395,1970,107348,7535,250,32091,2499,28,428242
금정구3-1,104208,8599,523,23366,2609,206,8095,903,90,148599
금정구5,216774,5531,1008,60397,2236,168,22487,480,43,309124
금정구5-1,83529,5058,186,31701,1648,55,14478,451,17,137123
금정구6,1086285,120130,19826,330370,37061,2554,68237,7907,305,1672675
금정구7,515782,20525,1036,458418,16426,490,178354,7746,104,1198881
기장2상곡,20613,317,55,1187,111,2,959,33,1,23278
기장2통합,5039,146,47,358,57,0,152,19,0,5818
기장2학리,10861,748,65,992,220,0,393,47,1,13327
기장3서생,197810,16183,2539,36209,1374,259,12831,600,23,267828
기장3월내,5953,528,54,1186,40,4,552,28,1,8346
기장8-1내덕,17327,1381,143,3796,327,23,1117,117,1,24232
기장8-1판곡,7909,1004,118,1492,46,14,420,20,1,11024
기장8정관,460980,144456,27549,55800,4456,583,22286,1869,157,718136
기장9용대용,20806,3331,192,4526,194,15,1115,20,4,30203
기장9용명용2,2218,134,15,332,27,1,74,7,0,2808
기장9용왕,35855,3764,388,7367,357,94,2132,63,7,50027
기장9용월,7067,288,66,1741,20,13,422,6,0,9623
기장9월명월1,7537,368,123,1357,12,2,420,5,0,9824
기장9월용,9794,318,70,1982,27,3,615,7,0,12816
기장군1(석산),11247,1378,141,1271,53,6,712,10,1,14819
기장군1(중리),2746,36,15,190,2,0,89,2,0,3080
기장군10(신명),17792,206,93,2409,19,6,587,9,2,21123
기장군11,394385,41234,7685,110679,8040,637,27487,3069,82,593298
기장군2-3,44263,1172,1263,13337,534,50,3826,59,5,64509
기장군5(월평),11050,4257,1773,1830,158,25,443,22,3,19561
기장군6,107699,9469,1385,14025,467,53,5460,261,16,138835
기장군7(병산),369,27,17,57,0,0,46,0,0,516
기장군7(예림),4375,1023,386,612,17,10,251,0,2,6676
남구1,488451,66969,15390,157101,13506,896,31372,1698,70,775453
남구1(오전),70815,9918,2190,19655,2758,85,3639,317,0,109377
남구1(오후),341364,46569,10831,111785,9823,972,22028,764,52,544188
남구10,449647,75740,11563,103343,11231,963,21113,993,77,674670
남구2,975102,186475,27309,223029,21475,1307,51367,2247,274,1488585
남구3,507883,30402,14275,148326,9363,736,35824,2578,91,749478
남구5,126553,3648,4524,40095,1142,598,9606,199,17,186382
남구6,571273,56284,21399,202075,12117,1274,59972,1603,161,926158
남구8,227187,16229,4967,41830,2181,442,11581,326,39,304782
남구9,417811,51732,8275,163474,12961,1162,39051,2300,110,696876
동구1,190737,3174,4428,56833,1729,254,15822,200,40,273217
동구1-1,355910,4924,5508,81581,1481,372,19422,147,39,469384
동구2,554351,21229,19943,188265,10317,1800,42438,1117,171,839631
동래구1,176691,19603,3928,40791,1749,297,9845,450,32,253386
동래구1-1,22518,800,582,8343,204,104,1902,63,21,34537
동래구10,46954,8165,1794,17962,893,122,4166,140,15,80211
동래구2,210708,62235,14754,46487,4468,448,8434,749,41,348324
동래구3,386713,40577,20337,119298,6251,999,21384,964,91,596614
동래구5,690101,72082,30473,244709,15183,1998,49398,2467,257,1106668
동래구6,313697,27444,5916,81769,4452,619,15272,835,69,450073
동래구6-1,333053,55808,6428,84542,7357,669,14634,1058,41,503590
동래구7,415539,67572,7270,88730,6493,502,18304,766,67,605243
동래구8,426796,65156,16180,129500,6255,1306,29059,786,144,675182
부산진10-1,439876,33054,11222,175700,9060,1250,36082,1084,189,707517
부산진6-1,670444,54532,416,441476,36258,219,169913,13631,14,1386903
부산진구1,223886,5484,5521,71981,1888,420,14176,256,43,323655
부산진구10,382482,6117,5984,222035,3345,897,65537,508,207,687112
부산진구11,128115,26177,5706,24625,2877,202,4914,171,21,192808
부산진구12,34719,8361,690,4639,852,16,1013,170,8,50468
부산진구12-1,78475,15140,3117,14949,964,132,3567,217,27,116588
부산진구13,165855,3750,1899,42647,774,219,11302,169,36,226651
부산진구15,498175,30819,12638,153226,7740,1046,64520,1406,143,769713
부산진구17,408124,48445,11944,146424,7180,1272,31771,850,98,656108
부산진구2,704523,31073,42100,227428,11422,1260,41367,953,104,1060230
부산진구6,184280,16792,385,63138,6176,29,25201,2445,1,298447
부산진구7,124521,15332,540,71728,27295,216,29110,8744,11,277497
부산진구8,117995,36447,207,83857,47014,194,24574,11288,10,321586
부산진구9,700132,70456,15587,239706,18094,947,71441,4741,111,1121215
북구1-1,779202,136124,23113,251677,28572,1893,44337,1844,121,1266883
북구2,301126,8421,4103,81578,2206,565,16389,202,26,414616
북구3,855213,94900,22431,218977,10394,906,35390,1151,65,1239427
북구6,811706,54168,16451,262886,22467,1345,42896,2619,127,1214665
북구7,403251,40670,11150,146862,7855,668,24284,1379,239,636358
북구7-2,39724,7527,786,7299,769,19,1779,117,2,58022
북구8,174004,9053,5766,89255,4065,613,24911,850,55,308572
북구8-1,169443,6531,2801,38303,1959,190,9479,225,18,228949
북구8-2,183059,13206,9215,89225,5376,591,26301,1002,136,328111
북구9,291819,54220,10349,144604,12491,836,32493,1897,304,549013
사상구1-1,306925,38578,50344,88505,5720,1434,23905,744,119,516274
사상구2,220906,25348,5960,174407,12382,912,45863,2234,67,488079
사상구2-1,136748,7555,3601,93249,4587,430,22526,515,50,269261
사상구2-2,8668,375,251,6346,264,35,1588,53,2,17582
사상구2-A,1877,233,88,2047,169,9,533,12,2,4970
사상구2-B,1315,69,38,1028,40,10,250,7,1,2758
사상구3,269917,25253,7386,186300,20752,1804,46098,2967,153,560630
사상구3-1,81561,8014,1817,57330,6673,584,13534,771,36,170320
사상구5,96548,8088,407,76592,11743,142,31473,1897,8,226898
사상구5-1,139682,12529,289,181843,18470,99,81398,6876,6,441192
사상구5-2,86031,6139,119,89077,7544,32,38593,3658,4,231197
사상구6,1572638,133844,35240,413258,28372,3287,90239,2734,422,2280034
사상구7,427652,9546,6112,122211,3104,835,33764,346,41,603611
사상구8,85602,11109,2593,20144,1807,179,5605,171,22,127232
사상구8-1,90407,5694,2597,30218,1104,229,8892,244,29,139414
사하구1,318817,29404,12740,92448,4391,1015,20370,604,75,479864
사하구1-1,583950,39044,18409,155021,6483,1331,33534,987,117,838876
사하구10,289434,22457,78,164921,12160,53,71395,6096,5,566599
사하구14,578380,49612,27894,206466,14664,2215,58228,1847,202,939508
사하구15,617843,100945,20024,174477,11364,1398,43262,1584,160,971057
사하구2,314758,39694,21030,99673,8982,1138,25399,774,142,511590
사하구2-1,360342,49228,39841,185835,24741,2588,37576,2133,138,702422
사하구3,119313,12458,9847,66554,9994,1114,21020,1636,116,242052
사하구3-1,52240,1524,309,21124,518,30,7748,94,1,83588
사하구5,368642,31578,6535,101489,6191,723,22799,795,57,538809
사하구6,381472,26884,20843,98854,9445,2074,26604,1149,150,567475
사하구8,445701,39572,10655,124742,7768,1032,29599,794,92,659955
사하구9,314251,31062,15582,157676,32611,5262,40527,3851,236,601058
서2-2출퇴,241876,5648,6949,68748,2180,465,14869,373,47,341155
서구1,345727,18316,14270,103706,4510,795,28787,2519,130,518760
서구2,313070,12140,7574,114648,5057,916,19465,791,125,473786
서구2-2,108362,2479,4173,28383,853,195,6067,169,22,150703
서구3,75613,6355,1891,25832,1068,249,5719,85,22,116834
서구3-1,180019,15663,5632,55505,4494,742,12207,230,49,274541
서구5,238325,5472,2258,76665,6145,352,24778,794,142,354931
수영구2,886212,120295,59654,218773,16775,2179,47219,1740,332,1353179
수영구2-1,12535,557,295,970,69,6,217,9,5,14663
연제구1,161062,9229,3768,52692,4420,968,10346,407,61,242953
연제구2,385761,27777,14948,113654,6869,1358,27002,791,86,578246
연제구3,283179,55794,17460,133599,20139,1979,25365,3591,62,541168
연제구6,98343,10467,2629,34246,10025,244,8551,3702,19,168226
연제구7,392453,35000,6636,110369,6613,1376,26057,748,126,579378
영도구1,167712,9109,9250,35036,1012,265,14073,212,24,236693
영도구2,174592,4308,2745,27552,619,201,10563,57,11,220648
영도구5,925404,126411,30879,206666,13418,2194,61735,1820,172,1368699
영도구7,75752,3675,6921,28642,603,174,11531,117,22,127437
중구1,697337,54317,19641,194631,19279,1159,53429,1913,114,1041820
해운대10,108959,3738,1499,31932,1368,186,7515,230,14,155441
해운대2,497997,18493,7939,129377,4925,656,30714,866,56,691023
해운대3-1,477713,43739,22163,172859,13775,1055,49326,1614,80,782324
해운대구3,176784,7044,6349,55650,2884,355,17888,348,48,267350
해운대구3-2,182135,28726,6676,62403,3241,305,16066,334,22,299908
해운대구7,222761,8074,3845,55990,1863,437,15008,353,20,308351
해운대구8,41773,2237,722,13645,491,68,3180,161,18,62295
해운대구9,66764,2393,565,15304,696,62,3814,190,15,89803
