,date,sm_tp1_t,sm_tp2_t,sm_tp3_t,sm_tp4_t,sm_tp5_t,sm_tp6_t,sm_tot_t,confirmed,death,released,tested,negative,critical,i_quarant,i_under_test,i_nw_confirm,i_nw_quarant,i_nw_release,i_nw_test,i_nw_death,i_confirm_id_rto,i_quarant_id_rto,i_test_id_rto,i_test_cnfm_rto,i_confirm_rto,i_fatality_rto,i_release_rto
13,20200114,5267521,232099,305217,238882,329448,300461,6673628,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,20200115,5309926,228959,303117,235012,330610,301469,6709093,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,20200116,5376438,229229,305123,237781,329488,303707,6781766,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,20200117,5857989,231521,310250,235061,330785,326500,7292106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,20200118,5721431,123855,206170,122118,181585,268932,6624091,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,20200119,4850230,54547,145762,55286,56931,220374,5383130,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,20200120,5559087,224097,290380,222961,327822,314855,6939202,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20200121,5563121,238407,306525,253535,355717,314626,7031931,1,0,0,1,0,0,1,0,1,1,0,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
21,20200122,5667381,228137,297535,232499,339798,318585,7083935,1,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
22,20200123,6160566,174030,252981,153772,226408,323453,7291210,1,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
23,20200124,6635540,52927,122111,29909,42208,243683,7126378,2,0,0,2,0,0,2,0,1,1,0,1,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
24,20200125,8853268,15866,88194,7212,8888,281213,9254641,2,0,0,2,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
25,20200126,6942180,25038,103032,16259,19637,246217,7352363,2,0,0,2,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
26,20200127,4631754,65635,135384,49216,50489,203862,5136340,4,0,0,61,57,0,4,0,2,2,0,59,0,1.0,1.0,29.5,0.06557377,0.06557377,0.0,0.0
27,20200128,5083800,180527,249027,165088,225174,290837,6194453,4,0,0,61,57,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.06557377,0.06557377,0.0,0.0
28,20200129,5143426,217576,287828,220226,305611,299516,6474183,4,0,0,187,183,0,4,0,0,0,0,126,0,0.0,0.0,2.06557377,0.021390374,0.021390374,0.0,0.0
29,20200130,5192498,218556,290150,223711,317793,298660,6541368,7,0,0,247,240,0,7,0,3,3,0,60,0,0.75,0.75,0.320855615,0.028340081,0.028340081,0.0,0.0
30,20200131,5544506,217625,292393,217464,310252,314630,6896870,11,0,0,309,240,0,11,58,4,4,0,62,0,0.571428571,0.571428571,0.251012146,0.043824701,0.035598706,0.0,0.0
31,20200201,5135494,114962,187389,103400,161167,248607,5951019,12,0,0,383,289,0,12,82,1,1,0,74,0,0.090909091,0.090909091,0.239482201,0.03986711,0.031331593,0.0,0.0
32,20200202,4278047,51056,137707,43448,42489,201165,4753912,15,0,0,429,327,0,15,87,3,3,0,46,0,0.25,0.25,0.120104439,0.043859649,0.034965035,0.0,0.0
33,20200203,5125555,215633,281127,207651,299129,297892,6426987,15,0,0,490,414,0,15,61,0,0,0,61,0,0.0,0.0,0.142191142,0.034965035,0.030612245,0.0,0.0
34,20200204,5003574,225437,292183,231059,321644,290544,6364441,16,0,0,607,462,0,16,129,1,1,0,117,0,0.066666667,0.066666667,0.23877551,0.033472803,0.026359143,0.0,0.0
35,20200205,4881935,216803,284040,212876,305785,284120,6185559,21,0,1,717,522,0,20,174,5,4,1,110,0,0.3125,0.25,0.18121911,0.038674033,0.029288703,0.0,0.047619048
36,20200206,4980014,213815,282405,210006,302641,290015,6278896,24,0,2,886,693,0,22,169,3,2,1,169,0,0.142857143,0.1,0.235704324,0.033472803,0.027088036,0.0,0.083333333
37,20200207,5550663,215498,285155,210210,304576,315871,6881973,24,0,2,1352,1001,0,22,327,0,0,0,466,0,0.0,0.0,0.525959368,0.023414634,0.017751479,0.0,0.083333333
38,20200208,5222159,109458,178774,103499,172211,256432,6042533,24,0,2,2097,1134,0,22,939,0,0,0,745,0,0.0,0.0,0.551035503,0.020725389,0.011444921,0.0,0.083333333
39,20200209,4433194,48630,125776,41185,42769,206475,4898029,27,0,3,2598,1683,0,24,888,3,2,1,501,0,0.125,0.090909091,0.238912732,0.015789474,0.01039261,0.0,0.111111111
40,20200210,5263003,210071,270122,198629,299279,304200,6545304,27,0,4,3110,2552,0,23,531,0,-1,1,512,0,0.0,-0.041666667,0.197074673,0.010469174,0.008681672,0.0,0.148148148
41,20200211,5209794,224247,285022,224915,321784,301353,6567115,28,0,4,4325,3535,0,24,762,1,1,0,1215,0,0.037037037,0.043478261,0.390675241,0.007858546,0.006473988,0.0,0.142857143
42,20200212,4791640,193519,258709,188097,258844,281904,5972713,28,0,7,5624,4811,0,21,785,0,-3,3,1299,0,0.0,-0.125,0.300346821,0.005786319,0.004978663,0.0,0.25
43,20200213,5273229,219109,277570,211779,291555,301165,6574407,28,0,7,6511,5921,0,21,562,0,0,0,887,0,0.0,0.0,0.157716927,0.004706673,0.004300415,0.0,0.25
44,20200214,5877788,219890,284236,211434,311356,329096,7233800,28,0,7,7242,6679,0,21,535,0,0,0,731,0,0.0,0.0,0.11227154,0.004174743,0.003866335,0.0,0.25
45,20200215,5767272,114702,180796,103146,168677,271210,6605803,28,0,9,7519,6853,0,19,638,0,-2,2,277,0,0.0,-0.095238095,0.038249102,0.004069176,0.003723899,0.0,0.321428571
46,20200216,4354194,48512,125637,47610,41243,197532,4814728,29,0,9,8161,7647,0,20,485,1,1,0,642,0,0.035714286,0.052631579,0.085383695,0.003778009,0.003553486,0.0,0.310344828
47,20200217,4792041,197707,258384,188472,269750,273127,5979481,30,0,10,8718,7980,0,20,708,1,0,1,557,0,0.034482759,0.0,0.06825144,0.003745318,0.003441156,0.0,0.333333333
48,20200218,5010841,218741,278560,215819,304233,290941,6319135,39,0,12,9780,8923,0,27,818,9,7,2,1062,0,0.3,0.35,0.12181693,0.004351707,0.00398773,0.0,0.307692308
49,20200219,5216463,219989,280261,216978,316849,300717,6551257,46,0,16,11168,9973,0,30,1149,7,3,4,1388,0,0.179487179,0.111111111,0.14192229,0.004591277,0.004118911,0.0,0.347826087
50,20200220,5272477,221788,281028,218003,320981,300071,6614348,104,1,16,13202,11238,0,87,1860,58,57,0,2034,1,1.260869565,1.9,0.182127507,0.009169459,0.007877594,7.57461e-05,0.153846154
51,20200221,5539009,219375,280602,212161,314805,312202,6878154,204,1,17,16400,13016,0,186,3180,100,99,1,3198,0,0.961538462,1.137931034,0.242236025,0.015431165,0.012439024,6.09756e-05,0.083333333
52,20200222,4725033,110977,172983,105100,170565,227688,5512346,433,3,18,21586,15116,0,412,6037,229,226,1,5186,2,1.12254902,1.215053763,0.316219512,0.02784745,0.020059298,0.000138979,0.041570439
53,20200223,3832721,52716,114596,44721,51561,177796,4274111,608,6,18,22685,16038,0,584,6039,175,172,0,1099,3,0.404157044,0.417475728,0.050912629,0.036525291,0.026801851,0.000264492,0.029605263
54,20200224,4857148,214259,271403,208810,310803,282442,6144865,843,7,22,32766,20292,0,814,11631,235,230,4,10081,1,0.386513158,0.393835616,0.444390566,0.039886444,0.025727889,0.000213636,0.026097272
55,20200225,4127021,194302,256453,201075,259083,249451,5287385,977,10,22,36800,22550,0,945,13273,134,131,0,4034,3,0.158956109,0.160933661,0.123115425,0.041526756,0.026548913,0.000271739,0.022517912
56,20200226,4602604,224838,273776,229581,303901,269746,5904446,1261,12,24,53553,31576,0,1225,20716,284,280,2,16753,2,0.290685773,0.296296296,0.455244565,0.038401803,0.023546767,0.000224077,0.019032514
57,20200227,4626154,226024,276948,231620,328638,268461,5957845,1766,13,26,66652,39318,0,1727,25568,505,502,2,13099,1,0.400475813,0.409795918,0.244598809,0.042985104,0.026495829,0.000195043,0.014722537
58,20200228,4711916,207441,264507,210397,296188,273100,5963549,2337,13,27,81167,48593,0,2297,30237,571,570,1,14515,0,0.323329558,0.330052113,0.21777291,0.045886511,0.02879249,0.000160164,0.011553273
59,20200229,4152963,114097,160557,111248,169046,202050,4909961,3150,17,28,94055,55723,0,3105,35182,813,808,1,12888,4,0.3478819,0.351763169,0.158783742,0.053505002,0.033491042,0.000180745,0.008888889
60,20200301,3416780,51883,104248,46015,48726,159145,3826797,3736,18,30,98921,61825,0,3688,33360,586,583,2,4866,1,0.186031746,0.187761675,0.051735687,0.056985098,0.037767511,0.000181963,0.008029979
61,20200302,4613964,213722,256066,204004,302573,271524,5861853,4212,22,31,109591,71580,0,4159,33799,476,471,1,10670,4,0.127408994,0.127711497,0.107863851,0.055573148,0.038433813,0.000200746,0.007359924
62,20200303,4511985,224797,270192,234896,333938,266472,5842280,4812,28,34,125851,85484,0,4750,35555,600,591,3,16260,6,0.142450142,0.142101467,0.148369848,0.053291397,0.038235691,0.000222485,0.007065669
63,20200304,4519835,219043,265232,225245,329044,266799,5825198,5328,32,41,136707,102965,0,5255,28414,516,505,7,10856,4,0.10723192,0.106315789,0.086260737,0.049199856,0.038973864,0.000234077,0.007695195
64,20200305,4607961,219196,265390,225521,333883,268442,5920393,5766,35,88,146541,118965,0,5643,21810,438,388,47,9834,3,0.082207207,0.073834443,0.071934868,0.046227482,0.03934735,0.000238841,0.01526188
65,20200306,5149788,219001,266990,222665,332197,291238,6481879,6284,44,108,164740,136624,0,6132,21832,518,489,20,18199,9,0.089836975,0.086656034,0.1241905,0.043972346,0.038144956,0.000267088,0.017186505
66,20200307,4420312,111113,151538,103382,174262,213753,5174360,6767,44,118,178189,151802,0,6605,19620,483,473,10,13449,0,0.076861871,0.077136334,0.081637732,0.042675428,0.037976531,0.000246929,0.017437565
67,20200308,4123087,48545,91661,43621,45947,185056,4537917,7134,50,130,188518,162008,0,6954,19376,367,349,12,10329,6,0.054233782,0.052838759,0.057966541,0.042177579,0.03784254,0.000265227,0.018222596
68,20200309,4867836,210258,253232,209380,317343,282371,6140420,7382,51,166,196618,171778,0,7165,17458,248,211,36,8100,1,0.034763106,0.030342249,0.042966719,0.041203394,0.037544884,0.000259386,0.022487131
69,20200310,4306253,196500,244512,204652,285049,258564,5495530,7513,54,247,210144,184179,0,7212,18452,131,47,81,13526,3,0.017745868,0.006559665,0.068793295,0.039193081,0.035751675,0.000256967,0.032876348
70,20200311,4844387,221802,259311,226009,327113,279899,6158521,7755,60,288,222395,196100,0,7407,18540,242,195,41,12251,6,0.032210835,0.02703827,0.058298119,0.038041745,0.034870388,0.00026979,0.037137331
71,20200312,4921003,221492,261842,229857,343742,281676,6259612,7869,66,333,234998,209402,0,7470,17727,114,63,45,12603,6,0.014700193,0.008505468,0.05666944,0.036217443,0.033485391,0.000280853,0.042317957
72,20200313,5352543,220550,261187,223611,340342,301922,6700155,7979,67,510,248647,222728,0,7402,17940,110,-68,177,13649,1,0.013978905,-0.009103079,0.058081345,0.034584993,0.032089669,0.000269458,0.063917784
73,20200314,5033531,116280,149709,116315,200795,237381,5854011,8086,72,714,261335,235615,0,7300,17634,107,-102,204,12688,5,0.013410202,-0.013780059,0.051028164,0.033180003,0.030941129,0.000275508,0.088300767
74,20200315,4202023,50237,91977,45686,50050,189776,4629749,8162,75,834,268212,243778,0,7253,16272,76,-47,120,6877,3,0.009398961,-0.006438356,0.026314883,0.032396602,0.030431151,0.00027963,0.102180838
75,20200316,4975193,211743,247850,208862,325860,286602,6256110,8236,75,1137,274504,251297,0,7024,14971,74,-229,303,6292,0,0.009066405,-0.031573142,0.023459055,0.031733922,0.030003206,0.00027322,0.138052453
76,20200317,4836230,223554,258760,236003,353541,280187,6188275,8320,81,1401,286716,261105,0,6838,17291,84,-186,264,12212,6,0.010199126,-0.026480638,0.044487512,0.030880579,0.029018262,0.00028251,0.168389423
77,20200318,5009780,222081,255570,233304,351787,286811,6359333,8413,84,1540,295647,270888,0,6789,16346,93,-49,139,8931,3,0.011177885,-0.007165838,0.031149291,0.030121625,0.028456233,0.000284123,0.183050042
78,20200319,4751334,216109,250655,225246,344449,268791,6056584,8565,91,1947,307024,282555,0,6527,15904,152,-262,407,11377,7,0.018067277,-0.03859184,0.038481703,0.029420857,0.027896842,0.000296394,0.22732049
79,20200320,5548677,222960,256123,227709,341553,307173,6904195,8652,94,2233,316664,292487,0,6325,15525,87,-202,286,9640,3,0.010157618,-0.030948368,0.031398197,0.028730918,0.027322335,0.000296845,0.258090615
80,20200321,5337575,116678,144360,110417,193713,250026,6152769,8799,102,2612,327509,303006,0,6085,15704,147,-240,379,10845,8,0.016990291,-0.037944664,0.034247657,0.02821956,0.026866437,0.000311442,0.296851915
81,20200322,4713674,49543,83936,44361,49751,208163,5149428,8897,104,2909,331780,308343,0,5884,14540,98,-201,297,4271,2,0.011137629,-0.033032046,0.013040863,0.028045013,0.026815962,0.000313461,0.326964145
82,20200323,5131832,215554,247256,214701,334193,293144,6436680,8961,111,3166,338036,315447,0,5684,13628,64,-200,257,6256,7,0.007193436,-0.033990483,0.018855868,0.027622623,0.026509011,0.000328367,0.353308783
83,20200324,5022430,228493,260767,241773,357116,287408,6397987,9037,120,3507,348582,324105,0,5410,15440,76,-274,341,10546,9,0.008481196,-0.048205489,0.031197861,0.027126571,0.025925033,0.000344252,0.388071263
84,20200325,5110183,227188,256998,239128,355226,291049,6479772,9137,126,3730,357896,334481,0,5281,14278,100,-129,223,9314,6,0.011065619,-0.023844732,0.026719681,0.026590574,0.025529763,0.000352058,0.408230273
85,20200326,4879693,212677,247004,214177,323643,279768,6156962,9241,131,4144,364942,341332,0,4966,14369,104,-315,414,7046,5,0.011382292,-0.059647794,0.019687283,0.026359703,0.025321832,0.000358961,0.448436316
86,20200327,5329886,203979,240039,202121,281838,300262,6558125,9332,139,4528,376961,352410,0,4665,15219,91,-301,384,12019,8,0.009847419,-0.060612163,0.032934,0.025797392,0.024755877,0.000368738,0.485212173
87,20200328,6300657,116627,543375,112048,674798,310811,8058316,9478,144,4811,387925,361883,0,4523,16564,146,-142,283,10964,5,0.015645092,-0.030439443,0.029085237,0.025522335,0.024432558,0.000371206,0.507596539
88,20200329,4692642,55300,87379,45919,48990,207106,5137336,9583,152,5033,394141,369530,0,4398,15028,105,-125,222,6216,8,0.011078287,-0.027636524,0.016023716,0.025277424,0.024313634,0.000385649,0.525200877
89,20200330,5246751,217678,246500,213153,324451,297846,6546379,9661,158,5228,395194,372002,0,4275,13531,78,-123,195,1053,6,0.008139414,-0.027967258,0.002671633,0.025312907,0.024446221,0.000399804,0.541144809
90,20200331,5052415,225129,255822,236652,343268,290105,6403391,9786,162,5408,410564,383886,0,4216,16892,125,-59,180,15370,4,0.012938619,-0.01380117,0.038892291,0.024858258,0.023835504,0.000394579,0.552626201
91,20200401,5022688,228829,255426,231842,336785,285889,6361459,9887,165,5567,421547,395075,0,4155,16585,101,-61,159,10983,3,0.010320867,-0.014468691,0.026751006,0.024414636,0.023454087,0.000391415,0.563062607
92,20200402,5157354,228882,256917,229366,343543,289785,6505847,9976,169,5828,431743,403882,0,3979,17885,89,-176,261,10196,4,0.009001719,-0.042358604,0.024187101,0.024104886,0.023106339,0.000391437,0.584202085
93,20200403,5750115,226896,256253,227080,338925,314379,7113648,10062,174,6021,443273,414303,0,3867,18908,86,-112,193,11530,5,0.00862069,-0.028147776,0.026705702,0.023710721,0.02269933,0.000392535,0.598389982
94,20200404,5613265,116903,142336,109054,188071,255844,6425473,10156,177,6325,455032,424732,0,3654,20144,94,-213,304,11759,3,0.009342079,-0.055081458,0.02652767,0.023353139,0.022319309,0.000388984,0.622784561
95,20200405,5048606,51604,86032,45737,49075,217540,5498594,10237,183,6463,461233,431425,0,3591,19571,81,-63,138,6201,6,0.007975581,-0.017241379,0.013627613,0.023178358,0.022194856,0.000396763,0.631337306
96,20200406,5247214,216665,245006,211596,324188,297737,6542406,10284,186,6598,466804,437225,0,3500,19295,47,-91,135,5571,3,0.004591189,-0.025341131,0.012078494,0.022980543,0.02203066,0.000398454,0.641579152
97,20200407,5118214,227333,256196,237755,347507,292003,6479008,10331,192,6694,477304,446323,0,3445,20650,47,-55,96,10500,6,0.004570206,-0.015714286,0.022493381,0.022623255,0.021644487,0.000402259,0.647952764
98,20200408,5155473,224535,252477,226816,338080,291259,6488640,10384,200,6776,486003,457761,0,3408,17858,53,-37,82,8699,8,0.005130191,-0.010740203,0.018225282,0.022181162,0.021366123,0.00041152,0.652542373
99,20200409,5199109,224462,252940,226010,338093,290182,6530796,10423,204,6973,494711,468779,0,3246,15509,39,-162,197,8708,4,0.003755778,-0.047535211,0.017917585,0.021750744,0.021068866,0.000412362,0.669001247
100,20200410,5773978,224643,253949,219381,333994,315684,7121629,10450,208,7117,503051,477303,0,3125,15298,27,-121,144,8340,4,0.002590425,-0.037276648,0.016858327,0.021424779,0.020773242,0.000413477,0.681052632
101,20200411,5483718,114958,140036,110640,192027,253143,6294522,10480,211,7243,510479,485929,0,3026,14070,30,-99,126,7428,3,0.002870813,-0.03168,0.014765898,0.021111624,0.020529738,0.000413337,0.691125954
102,20200412,4655136,49200,81976,43147,46675,205371,5081505,10512,214,7368,514621,490321,0,2930,13788,32,-96,125,4142,3,0.003053435,-0.03172505,0.008113948,0.020989032,0.020426683,0.00041584,0.700913242
103,20200413,5294074,217273,245826,211360,321566,299326,6589425,10537,217,7447,518743,494815,0,2873,13391,25,-57,79,4122,3,0.002378234,-0.019453925,0.008009778,0.020850813,0.020312563,0.000418319,0.706747651
104,20200414,5581805,232473,263078,237447,349484,312841,6977128,10564,222,7534,527438,502223,0,2808,14651,27,-65,87,8695,5,0.002562399,-0.022624434,0.016761672,0.020601146,0.020028894,0.000420903,0.713176827
105,20200415,4721626,137525,152828,128225,195596,226106,5561906,10591,225,7616,534552,508935,0,2750,15026,27,-58,82,7114,3,0.00255585,-0.020655271,0.013487841,0.02038589,0.019812853,0.000420913,0.719101124
106,20200416,5407497,227621,256770,223994,341463,299563,6756908,10613,229,7757,538775,513894,0,2627,14268,22,-123,141,4223,4,0.002077235,-0.044727273,0.007900073,0.020234239,0.01969839,0.000425038,0.730896071
107,20200417,5367854,202395,240211,204770,288152,301294,6604676,10635,230,7829,546463,521642,0,2576,14186,22,-51,72,7688,1,0.002072929,-0.01941378,0.014269407,0.019980198,0.019461519,0.000420889,0.736154208
108,20200418,5708005,114849,141967,108138,169995,261523,6504477,10653,232,7937,554834,530631,0,2484,13550,18,-92,108,8371,2,0.001692525,-0.035714286,0.015318512,0.019680981,0.019200337,0.000418143,0.745048343
109,20200419,4586814,51735,85939,44201,44612,203281,5016582,10661,234,8042,559109,536205,0,2385,12243,8,-99,105,4275,2,0.000750962,-0.039855072,0.007705007,0.019494721,0.019067838,0.000418523,0.754338242
110,20200420,5315431,218556,245568,208849,314423,299803,6602630,10674,236,8114,563035,540380,0,2324,11981,13,-61,72,3926,2,0.001219398,-0.02557652,0.007021887,0.019370152,0.018957969,0.000419157,0.760164887
111,20200421,5239622,230636,259957,233244,343926,294603,6601988,10683,237,8213,571014,547610,0,2233,12721,9,-91,99,7979,1,0.00084317,-0.039156627,0.01417141,0.019135114,0.018708823,0.000415051,0.768791538
112,20200422,5229832,223883,252759,224932,338700,293633,6563739,10694,238,8277,577959,555144,0,2179,12121,11,-54,64,6945,1,0.001029673,-0.024182714,0.012162574,0.018899402,0.018503043,0.000411794,0.773985412
113,20200423,5326820,226508,256832,226994,337135,298027,6672316,10702,240,8411,583971,563130,0,2051,10139,8,-128,134,6012,2,0.000748083,-0.058742542,0.010402122,0.018650058,0.018326253,0.000410979,0.785927864
114,20200424,5902418,226821,257489,225462,336303,323304,7271797,10708,240,8501,589520,569212,0,1967,9600,6,-84,90,5549,0,0.000560643,-0.040955631,0.009502184,0.018464616,0.01816393,0.000407111,0.793892417
115,20200425,5850215,115544,144714,113861,198494,266750,6689578,10718,240,8635,595161,575184,0,1843,9259,10,-124,134,5641,0,0.000933881,-0.063040163,0.009568802,0.018293162,0.018008572,0.000403252,0.80565404
116,20200426,5271664,53320,86582,45938,49693,228332,5735529,10728,242,8717,598285,578558,0,1769,8999,10,-74,82,3124,2,0.00093301,-0.040151926,0.005249,0.018205082,0.017931253,0.000404489,0.812546607
117,20200427,5554264,222283,250857,216260,331571,311201,6886436,10738,243,8764,601660,582027,0,1731,8895,10,-38,47,3375,1,0.00093214,-0.021481063,0.005641124,0.018115105,0.017847289,0.000403883,0.816166884
118,20200428,5538529,240820,267011,251702,363718,309312,6971092,10752,244,8854,608514,588559,0,1654,9203,14,-77,90,6854,1,0.001303781,-0.044482958,0.011391816,0.017940602,0.017669273,0.000400977,0.823474702
119,20200429,6235348,241782,271910,246807,354138,337436,7687421,10761,246,8922,614197,595129,0,1593,8307,9,-61,68,5683,2,0.000837054,-0.03688029,0.009339144,0.01776065,0.017520437,0.000400523,0.829105102
120,20200430,6644809,133526,157719,121137,172111,275000,7504302,10765,247,9059,619881,600482,0,1459,8634,4,-134,137,5684,1,0.000371713,-0.084118016,0.00925436,0.017611538,0.017366236,0.000398464,0.841523456
121,20200501,6627674,129724,148164,102733,108268,281164,7397727,10774,248,9072,623069,603610,0,1454,8685,9,-5,13,3188,1,0.000836043,-0.003427005,0.005142923,0.017536264,0.017291825,0.00039803,0.842027102
122,20200502,6935460,102903,128963,82338,122996,278160,7650820,10780,250,9123,627562,608286,0,1407,8496,6,-47,51,4493,2,0.000556896,-0.032324622,0.007211079,0.017413329,0.017177586,0.000398367,0.846289425
123,20200503,5935707,48525,89988,43105,37446,237175,6391946,10793,250,9183,630973,611592,0,1360,8588,13,-47,60,3411,0,0.001205937,-0.033404407,0.00543532,0.017341356,0.017105328,0.000396213,0.850829241
124,20200504,6139515,189789,210076,173482,274948,311954,7299764,10801,252,9217,633921,614944,0,1332,8176,8,-28,34,2948,2,0.000741221,-0.020588235,0.004672149,0.017261025,0.017038401,0.000397526,0.853346912
125,20200505,5401281,120881,142584,115242,174723,233323,6188034,10804,254,9283,640237,620575,0,1267,8858,3,-65,66,6316,2,0.000277752,-0.048798799,0.009963387,0.017111751,0.016875001,0.000396728,0.859218808
126,20200506,5610202,231468,258985,222262,333523,315380,6971820,10806,255,9333,643095,624280,0,1218,8009,2,-49,50,2858,1,0.000185117,-0.038674033,0.004463972,0.017015018,0.016803116,0.00039652,0.863686841
127,20200507,5725338,241520,268483,248187,361103,317890,7162521,10810,256,9419,649388,630149,0,1135,8429,4,-83,86,6293,1,0.000370165,-0.068144499,0.00978549,0.016865353,0.016646442,0.000394217,0.871322849
128,20200508,6501932,234569,267085,234869,346513,350377,7935345,10822,256,9484,654863,635174,0,1082,8867,12,-53,65,5475,0,0.001110083,-0.046696035,0.008431015,0.016752426,0.016525594,0.000390921,0.876362964
129,20200509,5372729,370746,807532,398437,362474,1145750,8457668,10840,256,9568,660030,640037,0,1016,9153,18,-66,84,5167,0,0.001663279,-0.060998152,0.0078902,0.016654452,0.016423496,0.000387861,0.882656827
130,20200510,5541802,50971,93377,45225,43915,239796,6015086,10874,256,9610,663886,642884,0,1008,10128,34,-8,42,3856,0,0.003136531,-0.007874016,0.005842159,0.016633066,0.016379318,0.000385608,0.883759426
131,20200511,5650625,223243,257333,213763,323169,315491,6983624,10909,256,9632,668492,646661,0,1021,10922,35,13,22,4606,0,0.003218687,0.012896825,0.006937938,0.016589869,0.016318819,0.000382951,0.882940691
132,20200512,5490764,235688,269749,236242,346276,305892,6884611,10936,258,9670,680890,653624,0,1008,16330,27,-13,38,12398,2,0.002475021,-0.012732615,0.01854622,0.016456001,0.016061331,0.000378916,0.884235552
133,20200513,5542519,231214,264884,234620,344477,306506,6924220,10962,259,9695,695920,665379,0,1008,19579,26,0,25,15030,1,0.002377469,0.0,0.02207405,0.016207801,0.015751811,0.000372169,0.884418902
134,20200514,5682959,235721,269103,231909,346254,311856,7077802,10991,260,9762,711484,679771,0,969,20722,29,-39,67,15564,1,0.002645503,-0.038690476,0.02236464,0.015911414,0.015447993,0.000365433,0.888181239
135,20200515,5589231,194362,240988,187782,260700,308853,6781916,11018,260,9821,726747,695854,0,937,19875,27,-32,59,15263,0,0.002456555,-0.033023736,0.021452345,0.01558698,0.015160709,0.000357759,0.891359593
136,20200516,5960211,112913,149644,99505,153969,272173,6748415,11037,262,9851,741145,711265,0,924,18843,19,-13,30,14398,2,0.001724451,-0.013874066,0.019811571,0.015280312,0.014891823,0.000353507,0.892543264
